Total_carbon_emissions,CSR_board_size,Indirect_carbon_emissions,Disclosure_scores,Controversy_level,Disclosure_of_R&D,Renewal_energy,Environmental_scores,Climate_change_policy,Waste_management,Planning_zero_carbon,Issue_green_bonds,Direct_carbon_emissions,MSCI_ESG_index,CSR_commitee,Water_treatment,Scope3_carbon_emissions,Biodiversity,Net_zero_targets,Govt_collaboration,ESG_funds,GHG_sales,Recycling,SDG_targets,Dow_jones_sustainability_index,Energy_conservation,Risk_score
0.0,0,0.0,32.18,2,0,0,0.33,0,0,0,0,0.0,3,0,0,0.0,0,0,0,646,8.16,0,3,1,0,21.75
0.0,0,0.0,29.23,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,116,11.28,0,1,1,0,0.0
28.47,0,26.92,41.73,3,0,0,15.01,1,1,0,0,1.56,3,0,1,6.07,0,0,0,546,1.94,0,3,1,1,24.59
7999.78,5,6951.08,67.5,3,1,1,57.99,1,1,0,0,1048.69,3,1,1,5745.61,0,1,0,829,45.5,1,3,1,1,22.07
378.16,0,276.06,54.04,3,1,0,46.27,1,1,0,0,102.1,0,0,1,0.0,1,1,0,179,56.23,0,3,1,1,16.95
0.0,0,0.0,35.01,1,0,0,0.91,0,1,0,0,0.0,3,0,0,0.0,0,1,0,1050,8.94,0,1,1,1,13.97
0.0,0,0.0,32.58,2,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,112,10.06,0,3,1,0,13.0
0.0,0,0.0,37.38,2,0,0,14.71,0,0,0,0,0.0,3,0,0,0.0,0,0,0,659,18.55,0,1,1,0,11.34
648.77,5,404.46,48.28,1,0,0,29.21,0,1,0,0,244.32,3,1,1,11.52,0,0,0,557,51.42,1,1,1,1,15.35
0.0,0,0.0,34.3,2,1,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,109,1085.79,0,3,1,0,20.08
58.94,0,54.1,40.81,1,0,0,22.77,1,1,0,0,4.84,0,0,1,0.0,0,0,0,140,3.08,0,3,1,1,10.2
706.95,0,323.88,54.44,1,0,0,34.28,1,0,0,0,383.08,3,0,1,208.48,1,1,0,686,36.72,0,3,1,1,21.13
1397.52,0,944.7,62.13,2,1,0,47.93,1,1,0,0,452.81,3,0,1,13200.0,0,1,0,874,111.04,1,3,1,1,10.81
918.35,6,836.05,71.39,3,1,1,73.39,1,1,0,0,82.3,3,1,1,5248.28,1,1,0,955,8.27,0,3,1,1,27.15
154.92,4,146.66,54.31,3,0,0,45.42,1,1,0,1,8.27,3,1,1,17.94,0,0,0,920,6.99,0,3,1,1,21.48
0.0,0,0.0,38.42,2,0,0,17.64,1,1,0,0,0.0,3,0,1,0.0,1,0,0,451,27.38,1,3,1,1,15.74
573.0,0,278.0,67.54,3,0,0,62.52,1,1,0,0,295.0,3,0,1,4164.0,1,1,1,810,66.6,1,3,1,1,23.74
0.0,0,0.0,31.68,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,74,14.79,0,0,1,0,0.0
297.27,0,209.63,55.06,3,0,1,44.04,1,1,0,0,87.64,3,0,1,1965.82,0,1,0,917,29.06,1,3,1,1,26.74
0.0,0,0.0,38.02,0,1,0,16.46,0,1,0,0,0.0,3,0,1,0.0,0,1,0,79,24.17,1,3,1,1,0.0
0.0,0,0.0,30.79,1,0,0,0.0,0,0,0,0,0.0,3,0,0,0.0,0,0,1,0,250.68,0,3,1,0,16.02
1414.54,0,1260.89,50.61,1,1,0,43.64,0,1,0,0,153.65,0,0,1,0.0,0,1,0,86,176.8,0,3,1,1,17.2
548.86,4,338.32,53.56,2,1,1,45.97,1,1,0,0,210.55,3,1,1,3131.57,0,1,0,954,12.08,1,3,1,1,14.26
